,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
0,JP Morgan Chase - Client Data Analyst (4-8 yrs),JP Morgan Chase,4-8 Yrs,4.0,8.0,,,,Hyderabad / Secunderabad,3.0,iimjobs,4.1,5300.0,"Banking, KYC, Banking Operations",
1,Data Analyst - Bangalore,Schneider Electric,5-10 Yrs,5.0,10.0,₹ 8 - 16L/yr,800000.0,1600000.0,"Bangalore / Bengaluru, Bangalore Rural",4.0,Naukri,4.2,3500.0,"ERP, SAP, Data Analysis",Salary Listed by Company
2,Senior IT ATLAS Data Analyst and Integration Specialist,SAP Labs India Pvt. Ltd.,7-11 Yrs,7.0,11.0,,,,Bangalore / Bengaluru,7.0,Naukri,4.3,1500.0,"data quality, Data analysis, quality management",
3,Consultant Data Analyst,Pfizer,2-6 Yrs,2.0,6.0,,,,Mumbai,3.0,Naukri,4.1,1700.0,"Power Bi, Commercial Operations, Data Management",
4,Senior Data Analyst - Retail Liabilities,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,Mumbai,5.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Manager Technology",
5,JP Morgan Chase - Client Data Analyst (4-9 yrs),JP Morgan Chase,4-9 Yrs,4.0,9.0,,,,Hyderabad / Secunderabad,7.0,iimjobs,4.1,5300.0,"KYC, AML, Banking",
6,Principal Business Data Analyst,GlaxoSmithKline Pharmaceuticals Limited,5-9 Yrs,5.0,9.0,,,,Bangalore / Bengaluru,2.0,Naukri,4.2,1600.0,"Procurement, Relationship management, Computer science",
7,"SENIOR, DATA ANALYST",Walmart Labs,2-6 Yrs,2.0,6.0,,,,Bangalore / Bengaluru,2.0,Naukri,4.0,2100.0,"Supply chain, Data analysis, Data modeling",
8,Data Analysts in Supply chain planning,Hewlett-Packard,6-8 Yrs,6.0,8.0,,,,Bangalore / Bengaluru,5.0,Naukri,4.2,3500.0,"Power Bi, Supply chain Planning, Tableau",
9,Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",
10,Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",
11,Data Analyst - Cx,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",
12,Customer Master Data Analyst,Genpact,2-6 Yrs,2.0,6.0,,,,Bangalore / Bengaluru,3.0,Naukri,3.9,27000.0,"Mdg, CMD, Master Data",
13,"Senior, Data Analyst",Walmart Labs,5-6 Yrs,5.0,6.0,,,,Bangalore / Bengaluru,4.0,Naukri,4.0,2100.0,"Computer science, Data analysis, MS SQL",
14,Data Analyst,Reliance Retail,3-8 Yrs,3.0,8.0,,,,Mumbai,4.0,Naukri,4.0,19600.0,"Power Bi, MIS, Data Analysis",
15,Data Analyst- PSP Transformation,Faurecia,4-6 Yrs,4.0,6.0,,,,Pune,3.0,Naukri,4.0,1100.0,"RPA, Power BI, Power Apps",
16,Senior Data Analyst,Optum Global Solutions (India) Private Limited,12-16 Yrs,12.0,16.0,,,,Bangalore / Bengaluru,6.0,Naukri,4.0,3500.0,"data warehouse, Power BI, Data Analysis",
17,Senior Data Analyst - Cx,IDFC FIRST Bank,3-7 Yrs,3.0,7.0,,,,"Chennai, Pune, New Delhi
													+4 more",11.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Manager Technology",
18,Data Analyst,Amazon,2-4 Yrs,2.0,4.0,₹ 1.8 - 7L/yr (AmbitionBox estimate),180000.0,700000.0,"Delhi/Ncr, Bangalore / Bengaluru",11.0,Naukri,4.1,21700.0,"AWS technologies, Excel, SQL",Estimated by Ambition Box
19,Retail Data Analyst,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Stress testing, Audit compliance, Regulatory reporting",
20,Senior Data Analyst-Credit Cards,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Usage, Test strategy, Analytical",
21,Senior Data Analyst - Cx,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Senior Data Analyst",
22,Data Analyst-Retail Assets,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Retail, Test strategy, Analytical",
23,Senior Data Analyst,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Usage, Test strategy, Analytical",
24,FHIR Data Analyst,Infosys Limited,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,4.0,Naukri,3.8,33500.0,"HL7 FHIR implementation, Agile Methodologies, FHIR",
25,Healthcare Data Analyst,Infosys Limited,2-6 Yrs,2.0,6.0,,,,Bangalore / Bengaluru,4.0,Naukri,3.8,33500.0,"PL/SQL, STTM creation, Data mapping",
26,Specialist - Investments,Jardine Lloyd Thompson India Pvt Ltd.,2-5 Yrs,2.0,5.0,₹ 4.754 - 7L/yr (AmbitionBox estimate),475399.99999999994,700000.0,Pune,3.0,Naukri,4.0,558.0,"Data management, RDBMS, Project management",Estimated by Ambition Box
27,JP Morgan Chase - Reference Data Analyst (4-6 yrs),JP Morgan Chase,4-6 Yrs,4.0,6.0,,,,Mumbai,16.0,iimjobs,4.1,5300.0,"Reference Data, IT Business Analyst, IT Jobs in BFSI",
28,Veeva process specialists,Tech Mahindra,5-10 Yrs,5.0,10.0,₹ 7 - 12L/yr,700000.0,1200000.0,Hyderabad / Secunderabad,3.0,Naukri,3.7,28500.0,"CTMS, CDMS, Veeva",Salary Listed by Company
29,Data Analyst/Sr. Analyst - SAS & Python,FedEx,3-8 Yrs,3.0,8.0,₹ 10 - 20L/yr,1000000.0,2000000.0,"Mumbai, Bangalore / Bengaluru",17.0,Naukri,4.2,1100.0,"Predictive Modeling, Logistic Regression, SAS",Salary Listed by Company
30,Data Analyst For SAP Business Warehouse,Siemens Limited,2-6 Yrs,2.0,6.0,,,,Pune,2.0,Naukri,4.2,4200.0,"Automation, SAP, Project management",
31,Data Analyst- SQL,Gainwell Technologies,13-23 Yrs,13.0,23.0,,,,"Chennai, Bangalore / Bengaluru",4.0,Naukri,4.0,83.0,"Query Optimization, Msql, Stored Procedures",
32,Sr. Price & Data Analyst,Stanley Black & Decker,5-8 Yrs,5.0,8.0,,,,Bangalore / Bengaluru,4.0,Naukri,4.0,268.0,"AB Analysis, Pricing, Price Framework",
33,FHIR Data Analyst,Infosys Limited,3-6 Yrs,3.0,6.0,₹ 3.5 - 9.45L/yr (AmbitionBox estimate),350000.0,944999.9999999999,Bangalore / Bengaluru,11.0,Naukri,3.8,33500.0,"Agile Methodologies, CARIN, FHIR",Estimated by Ambition Box
34,Data Analyst - Qlikview / Qliksense,PwC Service Delivery Center,4-8 Yrs,4.0,8.0,,,,Bangalore Rural,3.0,Naukri,3.5,7500.0,"Data Visualization, Data Analyst, QlikView",
35,Healthcare Data Analyst,Infosys Limited,3-8 Yrs,3.0,8.0,,,,Bangalore / Bengaluru,12.0,Naukri,3.8,33500.0,"PL/SQL, STTM creation, Data mapping",
36,Senior Associate - Workday Help - Reporting,TIAA,7-9 Yrs,7.0,9.0,,,,Pune,2.0,Naukri,4.0,529.0,"Data analysis, Predictive modeling, Data quality",
37,Automation and Data analyst Professional,Volvo Group,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,18.0,Naukri,4.1,604.0,"Automation, C",
38,Data Analyst,Foundever,4-9 Yrs,4.0,9.0,₹ 0.5 - 0.7L/yr,50000.0,70000.0,Chennai,11.0,Naukri,3.8,1700.0,"Power Bi, Dax, AWS",Salary Listed by Company
39,Consultant - Data Analyst,TransUnion Software Services Pvt. Ltd,4-8 Yrs,4.0,8.0,,,,Mumbai,2.0,Naukri,4.0,320.0,"Bfsi, Analytical, Data collection",
40,Data Analyst,"PayPal Holdings, Inc.",3-6 Yrs,3.0,6.0,,,,Hyderabad / Secunderabad,2.0,Naukri,3.9,813.0,"Computer science, Data analysis, Machine learning",
41,Data Analyst - Energy & Sustainability,CBRE,5-10 Yrs,5.0,10.0,₹ 10 - 20L/yr,1000000.0,2000000.0,"Mumbai Suburbs, Mumbai, Mumbai",27.0,Naukri,4.2,3400.0,"Energy Management, Data Analysis, Energy Audit",Salary Listed by Company
42,Data Analyst,Wipro,2-4 Yrs,2.0,4.0,₹ 3 - 7.5L/yr (AmbitionBox estimate),300000.0,750000.0,Gurgaon / Gurugram,2.0,Naukri,3.8,41400.0,"Advance Excel, Power Bi, Data Analysis",Estimated by Ambition Box
43,Data Analyst,Magna Steyr,3-6 Yrs,3.0,6.0,,,,Bangalore / Bengaluru,17.0,Naukri,4.0,560.0,"Supply chain, Data analysis, Data management",
44,Sr. Lead Data Analyst,Airtel,8-12 Yrs,8.0,12.0,,,,Gurgaon / Gurugram,10.0,Naukri,4.0,12200.0,"R, Tableau, Python",
45,Lead Data Analyst,Airtel,4-9 Yrs,4.0,9.0,,,,Gurgaon / Gurugram,10.0,Naukri,4.0,12200.0,"R, Data Analysis, Data Visualization",
46,"HCL Tech- Job Opening For Data analyst @ Hyderabad, Bangalore",HCLTech,6-10 Yrs,6.0,10.0,,,,"Bangalore Rural, Hyderabad / Secunderabad",10.0,Naukri,3.6,30200.0,"ETL, SCM, data analyst",
47,Data Analyst,Nestle,2-5 Yrs,2.0,5.0,,,,Gurgaon / Gurugram,24.0,Naukri,4.1,2000.0,"Automation, Natural Language Processing, Pandas",
48,"Team Lead - Data Analyst, Category Marketing",Flipkart Internet Private Limited.,2-7 Yrs,2.0,7.0,₹ 2.5 - 8L/yr (AmbitionBox estimate),250000.0,800000.0,Bangalore / Bengaluru,11.0,Naukri,4.0,9600.0,"python, data analysis, data analytics",Estimated by Ambition Box
49,Lead Data Analyst,Conneqt Digital,10-15 Yrs,10.0,15.0,₹ 12 - 22L/yr,1200000.0,2200000.0,Bangalore / Bengaluru,2.0,Naukri,3.7,8000.0,"Data Analysis, Stakeholder management, Data Products",Salary Listed by Company
50,Data Analyst,Conneqt Digital,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,2.0,Naukri,3.7,8000.0,"merging, Data Analysis, Data cleansing",
51,JP Morgan Chase - Client Data Analyst (4-6 yrs),JP Morgan Chase,4-6 Yrs,4.0,6.0,,,,Hyderabad / Secunderabad,28.0,iimjobs,4.1,5300.0,"KYC, AML, Banking",
52,Data Analyst,Target Corporation India Pvt Ltd,2-4 Yrs,2.0,4.0,,,,Bangalore / Bengaluru,16.0,Naukri,4.2,579.0,"Supply chain, Automation, SAP",
53,Data Analyst,Infosys,4-9 Yrs,4.0,9.0,,,,"Pune, Bangalore / Bengaluru, Bangalore Rural",19.0,Naukri,3.8,33500.0,"ETL, banking domain, SQL",
54,Reference Data Analyst,DEUTSCHE BANK AG,3-5 Yrs,3.0,5.0,₹ 4.7 - 6L/yr (AmbitionBox estimate),470000.0,600000.0,Jaipur,10.0,Naukri,4.0,2900.0,"derivatives, Excel, Swap",Estimated by Ambition Box
55,"Junior /Assistant Manager - Data Analyst, Variance I Mumbai",Parle,3-6 Yrs,3.0,6.0,,,,Mumbai,10.0,Naukri,4.0,1400.0,"SAP, Data Analysis, Variance Analysis",
56,Executive QA- Data Analyst,Parle,2-5 Yrs,2.0,5.0,,,,Mumbai,10.0,Naukri,4.0,1400.0,"SAP, Data Analysis, quality deviation",
57,Power BI Microsoft - Executive / Data Analyst,Sone India Group Of Industries,2-6 Yrs,2.0,6.0,,,,"New Delhi, Netaji subhash place",11.0,Naukri,4.8,51.0,"data cleansing, data analysis, Power BI",
58,Lead Data Research Analyst,Morningstar India (P) Ltd.,4-7 Yrs,4.0,7.0,,,,Mumbai,4.0,Naukri,3.9,928.0,"Automation, Corporate actions, Data management",
59,"SENIOR, DATA ANALYST",Walmart Labs,3-8 Yrs,3.0,8.0,₹ 3.35 - 30L/yr (AmbitionBox estimate),335000.0,3000000.0,Bangalore / Bengaluru,24.0,Naukri,4.0,2100.0,"Data analysis, Automation, Data management",Estimated by Ambition Box
60,Data Analyst,NextComm Corporation India,1-8 Yrs,1.0,8.0,,,,"Chennai, Pune, New Delhi
													+4 more",30.0,Naukri,4.9,1200.0,"data mining, data cleansing, data analysis",
61,HSSE Q&R Data Analyst,SBM Offshore,6-9 Yrs,6.0,9.0,,,,Bangalore / Bengaluru,5.0,Naukri,4.3,64.0,"Computer science, Usage, SAP",
62,Senior Data Analyst,Guidehouse,3-6 Yrs,3.0,6.0,,,,"Chennai, Thiruvananthapuram",4.0,Naukri,4.0,513.0,"Product management, Executive leadership, Change management",
63,Data Analyst,Suryoday Small Finance Bank,1-5 Yrs,1.0,5.0,,,,Navi Mumbai,9.0,Naukri,4.1,965.0,"Data Analysis, Data Analytics, Data Reporting",
64,Data Analyst,Infosys,3-8 Yrs,3.0,8.0,,,,Bangalore / Bengaluru,23.0,Naukri,3.8,33500.0,"HL7, HL, Fhir",
65,Data Scientist / Data Analyst,Siemens Limited,3-5 Yrs,3.0,5.0,₹ 5 - 9.8L/yr (AmbitionBox estimate),500000.0,980000.0000000001,Panaji/Panjim,16.0,Naukri,4.2,4200.0,"Data analysis, Analytical, Machine learning",Estimated by Ambition Box
66,Sr Business Process Analyst (Sr Data Analyst- Hardware),Kronos Solutions India Pvt. Ltd.,6-11 Yrs,6.0,11.0,,,,Noida,1.0,Naukri,3.6,459.0,"configuration management, technical support, it support",
67,Data Analyst,"PayPal Holdings, Inc.",2-7 Yrs,2.0,7.0,,,,Bangalore / Bengaluru,12.0,Naukri,3.9,813.0,"SAS, Analytical, Finance",
68,Urgent Opening !!!  Data Analyst - IIT/NIT /IIM Engineer/MBA,Angel One,4-8 Yrs,4.0,8.0,₹ 11 - 21L/yr,1100000.0,2100000.0,Mumbai,2.0,Naukri,3.9,1300.0,"Data Querying, Power BI, Data Analysis",Salary Listed by Company
69,Job || Lead Data Analyst || Wipro || Gurugram,Wipro Limited,5-10 Yrs,5.0,10.0,₹ 10 - 20L/yr,1000000.0,2000000.0,Gurgaon / Gurugram,11.0,Naukri,3.8,41400.0,"Data Analyst, Data Modeling, ETL",Salary Listed by Company
70,Data Analyst And MIS Lead For Gurgaon,Wipro Limited,3-8 Yrs,3.0,8.0,₹ 5 - 8.5L/yr,500000.0,850000.0,Gurgaon / Gurugram,11.0,Naukri,3.8,41400.0,"Google Sheets, Automation, Power Bi",Salary Listed by Company
71,"Data Analyst(Sql,SAS)",TELUS International,3-7 Yrs,3.0,7.0,,,,Noida,10.0,Naukri,3.8,957.0,"Data Transformation, Metadata Management, SAS",
72,Data Analyst 2,"PayPal Holdings, Inc.",3-8 Yrs,3.0,8.0,,,,Chennai,13.0,Naukri,3.9,813.0,"Automation, Analytical, Finance",
73,Data Analyst,Birlasoft,4-6 Yrs,4.0,6.0,,,,"Gurgaon / Gurugram, India",5.0,Naukri,3.8,2400.0,"IICS, Postgresql, Pl Sql Procedures",
74,Cimpress - HR Data Analyst (2-5 yrs),Cimpress India,2-5 Yrs,2.0,5.0,,,,"Mumbai, Bangalore / Bengaluru",11.0,iimjobs,3.9,266.0,"HR Analytics, HR Operations, HR Jobs in IT/ITeS",
75,SQL Developer (Data Analyst),Teleperformance (TP),4-9 Yrs,4.0,9.0,,,,"Hyderabad / Secunderabad, Gurgaon / Gurugram",24.0,Naukri,3.8,23600.0,"T-SQL, SQL Development, SQL Queries",
76,Data Analyst,Photon Infotech P Ltd,4-9 Yrs,4.0,9.0,,,,"Chennai, Bangalore / Bengaluru",5.0,Naukri,4.0,1400.0,"data cleansing, Data analysis, SAS",
77,Lead Data Analyst,Photon Infotech P Ltd,8-13 Yrs,8.0,13.0,,,,"Chennai, Bangalore / Bengaluru",5.0,Naukri,4.0,1400.0,"Data analysis, SAS, Data management",
78,Data Analyst SAS,GRANT THORNTON BHARAT LLP,5-10 Yrs,5.0,10.0,,,,"Bangalore / Bengaluru, Kolkata",2.0,Naukri,3.7,708.0,"excel, credit risk management, model validation",
79,Senior Associate - Data Scientist,Pricewaterhouse Coopers Private Limited,2-5 Yrs,2.0,5.0,,,,Gurgaon / Gurugram,17.0,Naukri,3.5,7500.0,"Data analysis, Data modeling, Analytical",
80,Reference Data Analyst,Deutsche Bank,1-5 Yrs,1.0,5.0,,,,Jaipur,17.0,Naukri,4.0,2900.0,"SSI, Swift Messaging, Trade Settlements",
81,Statistical Data Analyst,Altimetrik,6-11 Yrs,6.0,11.0,,,,Bangalore / Bengaluru,4.0,Naukri,3.8,882.0,"Regression, Ab Testing, Hypothesis",
82,Data Analyst - HR,JSW Steel,8-13 Yrs,8.0,13.0,,,,Navi Mumbai,19.0,Naukri,4.0,4900.0,"Data Analytics, HR Analytics",
83,Data Analyst,Nxtwave Disruptive Technologies,1-4 Yrs,1.0,4.0,,,,Hyderabad / Secunderabad,1.0,Naukri,3.9,494.0,"Excel, Power Bi, Bigquery",
84,Data Analyst,MSCI,0-3 Yrs,0.0,3.0,,,,Mumbai,3.0,Naukri,4.1,221.0,"Unix, Financial statements, Manager Quality Assurance",
85,Index Input Data Analyst,MSCI,1-2 Yrs,1.0,2.0,₹ 3.4 - 12L/yr (AmbitionBox estimate),340000.0,1200000.0,Mumbai,3.0,Naukri,4.1,221.0,"Data analysis, Automation, Manager Quality Assurance",Estimated by Ambition Box
86,Corporate Events Data Analyst,MSCI,1-2 Yrs,1.0,2.0,₹ 3.4 - 12L/yr (AmbitionBox estimate),340000.0,1200000.0,Mumbai,3.0,Naukri,4.1,221.0,"CVS, Corporate actions, Networking",Estimated by Ambition Box
87,Data Analyst (SQL+Tableau) - AVP,Deutsche Bank,10-16 Yrs,10.0,16.0,,,,Jaipur,18.0,Naukri,4.0,2900.0,"Data Engineering, SQL Development, Data Analysis",
88,Azure Data Analyst || Product Based MNC (Direct Payroll) || Kolkata,Digital Aptech,4-8 Yrs,4.0,8.0,₹ 7 - 16L/yr,700000.0,1600000.0,Kolkata,9.0,Naukri,4.5,107.0,"Data Management, ETL Tool, SQL Azure",Salary Listed by Company
89,Data Analyst,Angel One,2-5 Yrs,2.0,5.0,₹ 17 - 25L/yr,1700000.0,2500000.0,Mumbai,5.0,Naukri,3.9,1300.0,"python, Power Bi, Tableau",Salary Listed by Company
90,Data Analyst,Synechron,5-14 Yrs,5.0,14.0,,,,Mumbai,8.0,Naukri,3.6,2500.0,"Data analysis, Data modeling, Underwriting",
91,Data Analyst- Graphic Designer,Genpact,1-6 Yrs,1.0,6.0,₹ 2 - 6L/yr,200000.0,600000.0,Noida,30.0,Naukri,3.9,27000.0,"Print Design, Illustrator, Graphic Designing",Salary Listed by Company
92,upGrad - Data Analyst - CRM (5-8 yrs),upgrad,5-8 Yrs,5.0,8.0,,,,Bangalore / Bengaluru,3.0,iimjobs,3.8,1600.0,"Analytics, Data Analytics, Web Analytics",
93,EDA Data Analyst,NXP Semiconductors,6-8 Yrs,6.0,8.0,,,,Bangalore / Bengaluru,12.0,Naukri,3.9,208.0,"Automation, Data analysis, Linux",
94,Looking Manager - MIS &Data Analyst based- Lowerparel-Immediate Joiner,Anand Rathi Insurance Brokers (ARIBL),3-8 Yrs,3.0,8.0,₹ 3.5 - 8.5L/yr,350000.0,850000.0,Mumbai,3.0,Naukri,4.2,61.0,"MIS report, MIS Operations, VLOOKUP",Salary Listed by Company
95,Senior Data Security Engineer (Data Analyst along with Power BI),Kronos Solutions India Pvt. Ltd.,5-8 Yrs,5.0,8.0,,,,Noida,6.0,Naukri,3.6,459.0,"R, NoSQL, GCP BQ",
96,Hr Data Analyst,Yash Technologies,2-5 Yrs,2.0,5.0,,,,Hyderabad / Secunderabad,9.0,Naukri,3.8,1400.0,"HR MIS, People Analytics, Power Bi",
97,Marketing Ops Analyst,Target Corporation India Pvt Ltd,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,26.0,Naukri,4.2,579.0,"Career development, Change management, metadata",
98,Data Analyst,Aster DM Healthcare,4-8 Yrs,4.0,8.0,,,,Gurgaon / Gurugram,13.0,Naukri,3.8,366.0,"Data Science, Predictive Modeling, Data Analysis",
99,Senior Data Analyst,"PayPal Holdings, Inc.",4-6 Yrs,4.0,6.0,,,,Chennai,18.0,Naukri,3.9,813.0,"Analytical, Finance, Commerce",
100,"Data Analyst(ETL, DWH , SQL Developer) with Hexaware Technologies",Hexaware Technologies,4-9 Yrs,4.0,9.0,,,,"Chennai, Pune, Bangalore / Bengaluru",12.0,Naukri,3.6,5000.0,"Etl Development, Data Warehousing, Dwh Implementation",
101,Data Analyst,Realpage,2-4 Yrs,2.0,4.0,₹ 6 - 9L/yr (AmbitionBox estimate),600000.0,900000.0,Hyderabad / Secunderabad,5.0,Naukri,3.7,412.0,"Finance, Data Analysis, Advanced Excel",Estimated by Ambition Box
102,Indium Software - Data Analyst - R/Python (1-5 yrs),Indium Software,1-5 Yrs,1.0,5.0,,,,"Bangalore / Bengaluru, Hyderabad / Secunderabad",13.0,hirist,4.1,698.0,"Data Analyst, Data Analytics, Python",
103,Data Analyst 2,upGrad,3-5 Yrs,3.0,5.0,,,,Bangalore Rural,5.0,Naukri,3.8,1600.0,"Google Analytics, Data Analysis, Data Extraction",
104,Financial MIS and Data Analyst,Sub K IMAPCT Solutions Limited,3-8 Yrs,3.0,8.0,,,,Hyderabad / Secunderabad,8.0,Naukri,4.1,231.0,"Financial Analytics, MIS, Data Modeling",
105,Data Analyst,Digital Aptech,4-8 Yrs,4.0,8.0,₹ 7 - 16L/yr,700000.0,1600000.0,Kolkata,13.0,Naukri,4.5,107.0,"Data Management, ETL Tool, Data Warehousing Concepts",Salary Listed by Company
106,Business Analyst,Chubb,7-10 Yrs,7.0,10.0,,,,Bangalore / Bengaluru,10.0,Naukri,3.8,128.0,"Computer science, Data analysis, Data validation",
107,Data Analyst (Remote),Firstsource,1-5 Yrs,1.0,5.0,₹ 7 - 14L/yr,700000.0,1400000.0,Chennai,16.0,Naukri,3.8,4100.0,"Data Validation, Power Bi, Snowflake",Salary Listed by Company
108,Data Analyst & Report Designer - TRAI,National Institute for Smart Government (NISG),5-10 Yrs,5.0,10.0,₹ 5.05 - 10.6L/yr (AmbitionBox estimate),505000.0,1060000.0,New Delhi,4.0,Naukri,3.8,183.0,"Data Analysis, Cleaning, Data Processing",Estimated by Ambition Box
109,Mondelez International - Global Procurement Insights Visualization Lead - QlikSense/Tableau/Power BI (8-14 yrs),Mondelez india foods private limited,8-14 Yrs,8.0,14.0,,,,Mumbai,30.0,hirist,4.4,895.0,"Data Visualization, Data Analytics, Power BI",
110,Senior Data Analyst (Azure),"Redpine Signals, Inc.",5-8 Yrs,5.0,8.0,,,,Hyderabad / Secunderabad,3.0,Naukri,4.6,19.0,"Wireless, Computer science, MS SQL",
111,Data Analyst/MIS Analyst For Hyderabad-Immediate joiners only,Wipro,3-6 Yrs,3.0,6.0,₹ 5 - 8L/yr,500000.0,800000.0,Hyderabad / Secunderabad,18.0,Naukri,3.8,41400.0,"Big Query, Power Bi, Scripts",Salary Listed by Company
112,Senior Data Analyst,Teleperformance (TP),5-8 Yrs,5.0,8.0,,,,Mumbai,30.0,Naukri,3.8,23600.0,"Hive, Data Visualization, Spark",
113,Looker Developer - Data Analyst,Renault Nissan Technology  Business Centre IndiaPvt.Ltd,2-5 Yrs,2.0,5.0,,,,Chennai,12.0,Naukri,3.9,1400.0,"Data analysis, metadata, Usage",
114,ADAS Data Analyst_Engineer,Renault Nissan Technology  Business Centre IndiaPvt.Ltd,3-6 Yrs,3.0,6.0,,,,Chennai,12.0,Naukri,3.9,1400.0,"Usage, tableau, GIT",
115,Data Analyst,"PayPal Holdings, Inc.",3-6 Yrs,3.0,6.0,,,,Bangalore / Bengaluru,20.0,Naukri,3.9,813.0,"Data analysis, Analytical, Manager Technology",
116,Data Analyst,Nureca Limited,4-6 Yrs,4.0,6.0,₹ 3.5 - 6L/yr,350000.0,600000.0,Chandigarh,11.0,Naukri,4.4,123.0,"Google Sheets, G Suite, Google Apps Script",Salary Listed by Company
117,Manager - Data Analyst,Murugappa Group,5-10 Yrs,5.0,10.0,₹ 10 - 15L/yr,1000000.0,1500000.0,Chennai,25.0,Naukri,4.0,237.0,"tableau, Power BI, Data Analytics",Salary Listed by Company
118,Content Designer,Acko General,3-4 Yrs,3.0,4.0,,,,Bangalore / Bengaluru,3.0,Naukri,3.8,390.0,"Analytical skills, Copy writing, digital campaigns",
119,Senior Associate,Pricewaterhouse Coopers Private Limited,4-7 Yrs,4.0,7.0,₹ 6 - 17.46L/yr (AmbitionBox estimate),600000.0,1746000.0,Kolkata,24.0,Naukri,3.5,7500.0,"Stakeholder Engagement, Consulting, Data Analyst",Estimated by Ambition Box
120,Data Analyst,Cimpress,3-8 Yrs,3.0,8.0,,,,Mumbai,18.0,Naukri,3.9,266.0,"macros, data analysis, data management",
121,Advanced Data Analyst,Honeywell,7-8 Yrs,7.0,8.0,,,,Hyderabad / Secunderabad,23.0,Naukri,4.0,346.0,"Order management, Procurement, Business process",
122,PLM Data Analyst,Syngenta Global,8-10 Yrs,8.0,10.0,,,,Pune,30.0,Naukri,4.2,780.0,"Analytical, PLM, Pharma",
123,Senior data analyst,Spice Money,4-8 Yrs,4.0,8.0,,,,Remote,5.0,Naukri,4.0,273.0,"Excel, Coding, Senior Data Analyst",
124,Data Analyst,Spice Money,2-5 Yrs,2.0,5.0,,,,Noida,5.0,Naukri,4.0,273.0,"Excel, Coding, Data Analyst",
125,Compensation And Benefits Specialist,Ace Creative Learning,4-7 Yrs,4.0,7.0,,,,Bangalore / Bengaluru,5.0,Naukri,4.0,113.0,"Payroll, Data Analyst in Payroll, MIS",
126,MSCI - Index Input Data Analyst/Associate (1-6 yrs),MSCI,1-6 Yrs,1.0,6.0,,,,Mumbai,10.0,iimjobs,4.1,221.0,"Data Analytics, Reference Data, CFA",
127,Data Analyst cum Business Analyst,Kauvery Hospital,3-8 Yrs,3.0,8.0,,,,Chennai,8.0,Naukri,4.0,292.0,"Business Intelligence, Business Consulting, statistical tools",
128,Data Analyst - Power BI (5-8 yrs),SGS Technical Services Pvt. Ltd,5-8 Yrs,5.0,8.0,,,,Pune,30.0,hirist,3.9,1400.0,"Data Analytics, Power BI, Data Visualization",
129,Data Analyst / MIS Executive,Echobooom Management,0-1 Yrs,0.0,1.0,₹ 0.5 - 2.5L/yr,50000.0,250000.0,Mumbai,3.0,Naukri,3.9,529.0,"excel, reports, data",Salary Listed by Company
130,Hiring For Data Analyst,Xceedance,4-6 Yrs,4.0,6.0,₹ 15 - 20L/yr,1500000.0,2000000.0,"Pune, Bangalore Rural, Gurgaon / Gurugram",3.0,Naukri,3.7,578.0,"Redshift Db, Data Warehousing, ETL",Salary Listed by Company
131,Senior Data Analyst,Morningstar India (P) Ltd.,2-7 Yrs,2.0,7.0,,,,Mumbai,19.0,Naukri,3.9,928.0,"Administration, Manager Quality Assurance, Publishing",
132,Hr Data Analyst,O P Jindal Global University (JGU),7-12 Yrs,7.0,12.0,,,,Sonipat,3.0,Naukri,4.0,157.0,"HR MIS, Excel Dashboards, Data Analysis",
133,Data Analyst,CMS Computers Ltd,9-12 Yrs,9.0,12.0,,,,"Delhi/Ncr, New Delhi",11.0,Naukri,3.9,537.0,"Power Bi, Statistical Modeling, Data Visualization",
